person_slug,person_name,start_date,end_date,start_reason,end_reason,election_id,election,confirmed,source
sinclair-johnson,Sinclair Johnson,1899-11-07,1900-11-06,elected,term_expired,52,Lerwick Town Council Election November 1899,0,
arthur-laing,Arthur Laing,1900-11-06,1903-11-03,elected,term_expired,53,Lerwick Town Council Election November 1900,0,
francis-halcrow,Francis Halcrow,1900-11-06,1903-11-03,elected,term_expired,53,Lerwick Town Council Election November 1900,0,
george-kay,George Kay,1900-11-06,1903-11-03,elected,term_expired,53,Lerwick Town Council Election November 1900,0,
james-goudie,James Goudie,1900-11-06,1903-11-03,elected,term_expired,53,Lerwick Town Council Election November 1900,0,
gilbert-harrison,Gilbert Harrison,1901-11-01,1904-11-01,elected,term_expired,54,Lerwick Town Council Election November 1901,0,
john-irvine-iii,John Irvine (iii),1901-11-01,1904-11-01,elected,term_expired,54,Lerwick Town Council Election November 1901,0,
john-leisk,John Leisk,1901-11-01,1904-11-01,elected,term_expired,54,Lerwick Town Council Election November 1901,0,
sinclair-johnson,Sinclair Johnson,1901-11-01,1904-11-01,elected,term_expired,54,Lerwick Town Council Election November 1901,0,
arthur-porteous,Arthur Porteous,1902-11-04,1905-11-07,elected,term_expired,55,Lerwick Town Council Election November 1902,0,
donald-morrison,Donald Morrison,1902-11-04,1905-11-07,elected,term_expired,55,Lerwick Town Council Election November 1902,0,
john-robertson-ii,John Robertson (ii),1902-11-04,1905-02-02,elected,died,55,Lerwick Town Council Election November 1902,0,
peter-goodlad,Peter Goodlad,1902-11-04,1905-11-07,elected,term_expired,55,Lerwick Town Council Election November 1902,0,
arthur-laing,Arthur Laing,1903-11-03,1906-11-06,elected,term_expired,56,Lerwick Town Council Election November 1903,0,
george-kay,George Kay,1903-11-03,1906-11-06,elected,term_expired,56,Lerwick Town Council Election November 1903,0,
james-goudie,James Goudie,1903-11-03,1906-11-06,elected,term_expired,56,Lerwick Town Council Election November 1903,0,
robert-ganson-i,Robert Ganson (i),1903-11-03,1906-11-06,elected,term_expired,56,Lerwick Town Council Election November 1903,0,
gilbert-harrison,Gilbert Harrison,1904-11-01,1907-11-05,elected,term_expired,57,Lerwick Town Council Election November 1904,0,
john-irvine-iii,John Irvine (iii),1904-11-01,1907-11-05,elected,term_expired,57,Lerwick Town Council Election November 1904,0,
john-sinclair,John Sinclair,1904-11-01,1907-11-05,elected,term_expired,57,Lerwick Town Council Election November 1904,0,
sinclair-johnson,Sinclair Johnson,1904-11-01,1907-11-05,elected,term_expired,57,Lerwick Town Council Election November 1904,0,
laurence-laurenson-ii,Laurence Laurenson (ii),1905-02-28,1905-11-07,by-election,term_expired,58,Lerwick Town Council By-Election February 1905,0,
alexander-ratter,Alexander Ratter,1905-11-07,1908-11-03,elected,term_expired,59,Lerwick Town Council Election November 1905,0,
arthur-porteous,Arthur Porteous,1905-11-07,1908-11-03,elected,term_expired,59,Lerwick Town Council Election November 1905,0,
peter-goodlad,Peter Goodlad,1905-11-07,1908-11-03,elected,term_expired,59,Lerwick Town Council Election November 1905,0,
william-sinclair,William Sinclair,1905-11-07,1908-11-03,elected,term_expired,59,Lerwick Town Council Election November 1905,0,
arthur-laing,Arthur Laing,1906-11-06,1909-11-02,elected,term_expired,60,Lerwick Town Council Election November 1906,0,
james-laing,James Laing,1906-11-06,1909-11-02,elected,term_expired,60,Lerwick Town Council Election November 1906,0,
robert-ganson-i,Robert Ganson (i),1906-11-06,1909-11-02,elected,term_expired,60,Lerwick Town Council Election November 1906,0,
robert-stout-i,Robert Stout (i),1906-11-06,1909-11-02,elected,term_expired,60,Lerwick Town Council Election November 1906,0,
andrew-smith,Andrew Smith,1907-11-05,1910-11-01,elected,term_expired,61,Lerwick Town Council Election November 1907,0,
john-irvine-iii,John Irvine (iii),1907-11-05,1910-01-01,elected,replaced,61,Lerwick Town Council Election November 1907,0,
john-smith-i,John Smith (i),1907-11-05,1910-11-01,elected,term_expired,61,Lerwick Town Council Election November 1907,0,
william-smith-ii,William Smith (ii),1907-11-05,1910-11-01,elected,term_expired,61,Lerwick Town Council Election November 1907,0,
alexander-ratter,Alexander Ratter,1908-11-03,1911-11-07,elected,term_expired,62,Lerwick Town Council Election November 1908,0,
peter-goodlad,Peter Goodlad,1908-11-03,1911-11-07,elected,term_expired,62,Lerwick Town Council Election November 1908,0,
robert-ganson-i,Robert Ganson (i),1908-11-03,1911-11-07,elected,term_expired,62,Lerwick Town Council Election November 1908,0,
william-sinclair,William Sinclair,1908-11-03,1911-11-07,elected,term_expired,62,Lerwick Town Council Election November 1908,0,
arthur-laing,Arthur Laing,1909-11-02,1912-11-05,elected,term_expired,63,Lerwick Town Council Election November 1909,0,
james-laing,James Laing,1909-11-02,1912-11-05,elected,term_expired,63,Lerwick Town Council Election November 1909,0,
john-smith-i,John Smith (i),1909-11-02,1912-11-05,elected,term_expired,63,Lerwick Town Council Election November 1909,0,
robert-stout-i,Robert Stout (i),1909-11-02,1912-11-05,elected,term_expired,63,Lerwick Town Council Election November 1909,0,
james-loggie,James Loggie,1910-01-01,1910-11-01,by-election,term_expired,64,Lerwick Town Council By-Election January 1910,0,
andrew-smith,Andrew Smith,1910-11-01,1913-11-04,elected,term_expired,65,Lerwick Town Council Election November 1910,0,
james-loggie,James Loggie,1910-11-01,1913-11-04,elected,term_expired,65,Lerwick Town Council Election November 1910,0,
william-macdougall,William MacDougall,1910-11-01,1912-04-01,elected,resigned,65,Lerwick Town Council Election November 1910,0,
william-smith-ii,William Smith (ii),1910-11-01,1913-11-04,elected,term_expired,65,Lerwick Town Council Election November 1910,0,
alexander-ratter,Alexander Ratter,1911-11-07,1914-11-03,elected,term_expired,66,Lerwick Town Council Election November 1911,0,
peter-goodlad,Peter Goodlad,1911-11-07,1914-11-03,elected,term_expired,66,Lerwick Town Council Election November 1911,0,
robert-ganson-i,Robert Ganson (i),1911-11-07,1914-11-03,elected,term_expired,66,Lerwick Town Council Election November 1911,0,
william-sinclair,William Sinclair,1911-11-07,1914-11-03,elected,term_expired,66,Lerwick Town Council Election November 1911,0,
james-grierson,James Grierson,1912-11-05,1915-07-03,elected,died,67,Lerwick Town Council Election November 1912,0,
james-laing,James Laing,1912-11-05,1919-11-04,elected,term_expired,67,Lerwick Town Council Election November 1912,0,
john-smith-i,John Smith (i),1912-11-05,1919-11-04,elected,term_expired,67,Lerwick Town Council Election November 1912,0,
robert-ramsay,Robert Ramsay,1912-11-05,1919-11-04,elected,term_expired,67,Lerwick Town Council Election November 1912,0,
robert-stout-i,Robert Stout (i),1912-11-05,1915-04-10,elected,died,67,Lerwick Town Council Election November 1912,0,
andrew-smith,Andrew Smith,1913-11-04,1916-09-05,elected,replaced,68,Lerwick Town Council Election November 1913,0,
laurence-laurenson-ii,Laurence Laurenson (ii),1913-11-04,1916-07-14,elected,died,68,Lerwick Town Council Election November 1913,0,
peter-goodlad,Peter Goodlad,1913-11-04,1919-11-04,elected,term_expired,68,Lerwick Town Council Election November 1913,0,
william-smith-ii,William Smith (ii),1913-11-04,1916-12-05,elected,replaced,68,Lerwick Town Council Election November 1913,0,
alexander-ratter,Alexander Ratter,1914-11-03,1919-11-04,elected,term_expired,69,Lerwick Town Council Election November 1914,0,
john-smith-i,John Smith (i),1914-11-03,1919-11-04,elected,term_expired,69,Lerwick Town Council Election November 1914,0,
robert-ganson-i,Robert Ganson (i),1914-11-03,1919-11-04,elected,term_expired,69,Lerwick Town Council Election November 1914,0,
william-sinclair,William Sinclair,1914-11-03,1919-11-04,elected,term_expired,69,Lerwick Town Council Election November 1914,0,
john-sinclair,John Sinclair,1915-04-27,1919-11-04,by-election,term_expired,70,Lerwick Town Council By-Election April 1915,0,
charles-stout,Charles Stout,1915-08-03,1919-11-04,by-election,term_expired,71,Lerwick Town Council By-Election August 1915,0,
john-henderson,John Henderson,1916-08-01,1919-11-04,by-election,term_expired,72,Lerwick Town Council By-Election August 1916,0,
magnus-manson,Magnus Manson,1916-09-05,1919-11-04,by-election,term_expired,73,Lerwick Town Council By-Election September 1916,0,
hugh-robertson,Hugh Robertson,1916-12-05,1919-11-04,by-election,term_expired,74,Lerwick Town Council By-Election December 1916,0,
alexander-ratter,Alexander Ratter,1919-11-04,1920-11-02,holdover,term_expired,,,0,
james-laing,James Laing,1919-11-04,1922-11-07,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
james-morrison,James Morrison,1919-11-04,1922-11-07,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
james-pottinger-iii,James Pottinger (iii),1919-11-04,1921-06-11,elected,replaced,75,Lerwick Town Council Election November 1919,0,
john-sinclair,John Sinclair,1919-11-04,1921-11-01,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
john-smith-i,John Smith (i),1919-11-04,1921-11-01,holdover,term_expired,,,0,
magnus-manson,Magnus Manson,1919-11-04,1922-11-07,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
peter-goodlad,Peter Goodlad,1919-11-04,1920-11-02,holdover,term_expired,,,0,
robert-ganson-i,Robert Ganson (i),1919-11-04,1920-11-02,holdover,term_expired,,,0,
robert-ollason,Robert Ollason,1919-11-04,1921-11-01,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
robert-ramsay,Robert Ramsay,1919-11-04,1921-11-01,elected,term_expired,75,Lerwick Town Council Election November 1919,0,
william-sinclair,William Sinclair,1919-11-04,1920-11-02,holdover,term_expired,,,0,
alexander-ratter,Alexander Ratter,1920-11-02,1923-11-06,elected,term_expired,76,Lerwick Town Council Election November 1920,0,
george-duffin,George Duffin,1920-11-02,1923-11-06,elected,term_expired,76,Lerwick Town Council Election November 1920,0,
robert-ganson-i,Robert Ganson (i),1920-11-02,1923-11-06,elected,term_expired,76,Lerwick Town Council Election November 1920,0,
william-sinclair,William Sinclair,1920-11-02,1921-10-01,elected,retired,76,Lerwick Town Council Election November 1920,0,
james-goodlad,James Goodlad,1921-06-11,1921-11-01,by-election,term_expired,77,Lerwick Town Council By-Election June 1921,0,
alexander-manson,Alexander Manson,1921-11-01,1922-11-07,elected,term_expired,78,Lerwick Town Council Election November 1921,0,
david-murray,David Murray,1921-11-01,1923-11-06,elected,term_expired,78,Lerwick Town Council Election November 1921,0,
james-goodlad,James Goodlad,1921-11-01,1924-05-05,elected,replaced,78,Lerwick Town Council Election November 1921,0,
john-sinclair,John Sinclair,1921-11-01,1924-11-04,elected,term_expired,78,Lerwick Town Council Election November 1921,0,
robert-ollason,Robert Ollason,1921-11-01,1924-11-04,elected,term_expired,78,Lerwick Town Council Election November 1921,0,
william-bruce-ii,William Bruce (ii),1921-11-01,1924-11-04,elected,term_expired,78,Lerwick Town Council Election November 1921,0,
george-duffin,George Duffin,1922-11-07,1925-11-03,elected,term_expired,79,Lerwick Town Council Election November 1922,0,
james-laing,James Laing,1922-11-07,1925-11-03,elected,term_expired,79,Lerwick Town Council Election November 1922,0,
james-morrison,James Morrison,1922-11-07,1925-11-03,elected,term_expired,79,Lerwick Town Council Election November 1922,0,
magnus-manson,Magnus Manson,1922-11-07,1925-11-03,elected,term_expired,79,Lerwick Town Council Election November 1922,0,
alexander-manson,Alexander Manson,1923-11-06,1926-11-02,elected,term_expired,80,Lerwick Town Council Election November 1923,0,
alexander-ratter,Alexander Ratter,1923-11-06,1926-11-02,elected,term_expired,80,Lerwick Town Council Election November 1923,0,
david-murray,David Murray,1923-11-06,1926-11-02,elected,term_expired,80,Lerwick Town Council Election November 1923,0,
robert-ganson-i,Robert Ganson (i),1923-11-06,1926-11-02,elected,term_expired,80,Lerwick Town Council Election November 1923,0,
edwyn-tait,Edwyn Tait,1924-05-05,1924-11-04,by-election,term_expired,81,Lerwick Town Council By-Election May 1924,0,
edwyn-tait,Edwyn Tait,1924-11-04,1927-11-01,elected,term_expired,82,Lerwick Town Council Election November 1924,0,
john-sinclair,John Sinclair,1924-11-04,1927-11-01,elected,term_expired,82,Lerwick Town Council Election November 1924,0,
robert-ollason,Robert Ollason,1924-11-04,1927-11-01,elected,term_expired,82,Lerwick Town Council Election November 1924,0,
william-bruce-ii,William Bruce (ii),1924-11-04,1927-11-01,elected,term_expired,82,Lerwick Town Council Election November 1924,0,
george-duffin,George Duffin,1925-11-03,1928-11-06,elected,term_expired,83,Lerwick Town Council Election November 1925,0,
john-campbell-i,John Campbell (i),1925-11-03,1928-11-06,elected,term_expired,83,Lerwick Town Council Election November 1925,0,
laurence-cogle,Laurence Andrew Cogle,1925-11-03,1928-11-06,elected,term_expired,83,Lerwick Town Council Election November 1925,0,
magnus-manson,Magnus Manson,1925-11-03,1928-11-06,elected,term_expired,83,Lerwick Town Council Election November 1925,0,
alexander-ratter,Alexander Ratter,1926-11-02,1929-11-05,elected,term_expired,84,Lerwick Town Council Election November 1926,0,
james-irvine-i,James Irvine (i),1926-11-02,1929-11-05,elected,term_expired,84,Lerwick Town Council Election November 1926,0,
laurence-sandison,Laurence Sandison,1926-11-02,1929-11-05,elected,term_expired,84,Lerwick Town Council Election November 1926,0,
robert-ganson-i,Robert Ganson (i),1926-11-02,1929-11-05,elected,term_expired,84,Lerwick Town Council Election November 1926,0,
james-laing,James Laing,1927-11-01,1930-11-04,elected,term_expired,85,Lerwick Town Council Election November 1927,0,
john-sinclair,John Sinclair,1927-11-01,1930-11-04,elected,term_expired,85,Lerwick Town Council Election November 1927,0,
robert-ollason,Robert Ollason,1927-11-01,1930-11-04,elected,term_expired,85,Lerwick Town Council Election November 1927,0,
william-bruce-ii,William Bruce (ii),1927-11-01,1930-11-04,elected,term_expired,85,Lerwick Town Council Election November 1927,0,
george-duffin,George Duffin,1928-11-06,1931-11-03,elected,term_expired,86,Lerwick Town Council Election November 1928,0,
john-campbell-i,John Campbell (i),1928-11-06,1931-11-03,elected,term_expired,86,Lerwick Town Council Election November 1928,0,
laurence-cogle,Laurence Andrew Cogle,1928-11-06,1931-11-03,elected,term_expired,86,Lerwick Town Council Election November 1928,0,
magnus-manson,Magnus Manson,1928-11-06,1931-11-03,elected,term_expired,86,Lerwick Town Council Election November 1928,0,
alexander-manson,Alexander Manson,1929-11-05,1932-11-01,elected,term_expired,87,Lerwick Town Council Election November 1929,0,
laurence-sandison,Laurence Sandison,1929-11-05,1932-11-01,elected,term_expired,87,Lerwick Town Council Election November 1929,0,
robert-ganson-i,Robert Ganson (i),1929-11-05,1932-11-01,elected,term_expired,87,Lerwick Town Council Election November 1929,0,
william-sinclair,William Sinclair,1929-11-05,1932-11-01,elected,term_expired,87,Lerwick Town Council Election November 1929,0,
james-laing,James Laing,1930-11-04,1933-11-07,elected,term_expired,88,Lerwick Town Council Election November 1930,0,
john-sinclair,John Sinclair,1930-11-04,1933-11-07,elected,term_expired,88,Lerwick Town Council Election November 1930,0,
robert-ollason,Robert Ollason,1930-11-04,1933-11-07,elected,term_expired,88,Lerwick Town Council Election November 1930,0,
william-bruce-ii,William Bruce (ii),1930-11-04,1933-11-07,elected,term_expired,88,Lerwick Town Council Election November 1930,0,
george-duffin,George Duffin,1931-11-03,1934-11-06,elected,term_expired,89,Lerwick Town Council Election November 1931,0,
john-campbell-i,John Campbell (i),1931-11-03,1932-06-07,elected,replaced,89,Lerwick Town Council Election November 1931,0,
laurence-cogle,Laurence Andrew Cogle,1931-11-03,1934-11-06,elected,term_expired,89,Lerwick Town Council Election November 1931,0,
magnus-manson,Magnus Manson,1931-11-03,1934-11-06,elected,term_expired,89,Lerwick Town Council Election November 1931,0,
james-morrison,James Morrison,1932-06-07,1932-11-01,by-election,term_expired,90,Lerwick Town Council By-Election June 1932,0,
alexander-manson,Alexander Manson,1932-11-01,1935-11-05,elected,term_expired,91,Lerwick Town Council Election November 1932,0,
james-morrison,James Morrison,1932-11-01,1935-11-05,elected,term_expired,91,Lerwick Town Council Election November 1932,0,
laurence-sandison,Laurence Sandison,1932-11-01,1934-09-30,elected,died,91,Lerwick Town Council Election November 1932,0,
robert-ganson-ii,Robert Ganson (ii),1932-11-01,1935-11-05,elected,term_expired,91,Lerwick Town Council Election November 1932,0,
thomas-johnston-ii,Thomas Johnston (ii),1932-11-01,1935-11-05,elected,term_expired,91,Lerwick Town Council Election November 1932,0,
adam-halcrow-i,Adam Halcrow (i),1933-11-07,1936-11-03,elected,term_expired,92,Lerwick Town Council Election November 1933,0,
charles-manson,Charles Manson,1933-11-07,1936-11-03,elected,term_expired,92,Lerwick Town Council Election November 1933,0,
charlotte-nicol,Charlotte Nicol,1933-11-07,1936-11-03,elected,term_expired,92,Lerwick Town Council Election November 1933,0,
robert-ollason,Robert Ollason,1933-11-07,1936-11-03,elected,term_expired,92,Lerwick Town Council Election November 1933,0,
james-smith-i,James Smith (i),1934-11-06,1937-11-02,elected,term_expired,93,Lerwick Town Council Election November 1934,0,
john-robertson-iv,John Robertson (iv),1934-11-06,1937-11-02,elected,term_expired,93,Lerwick Town Council Election November 1934,0,
laurence-cogle,Laurence Andrew Cogle,1934-11-06,1936-07-07,elected,replaced,93,Lerwick Town Council Election November 1934,0,
laurence-laurenson-iii,Laurence Laurenson (iii),1934-11-06,1937-11-02,elected,term_expired,93,Lerwick Town Council Election November 1934,0,
peter-dalziel,Peter Dalziel,1934-11-06,1937-11-02,elected,term_expired,93,Lerwick Town Council Election November 1934,0,
alexander-manson,Alexander Manson,1935-11-05,1938-07-22,elected,died,94,Lerwick Town Council Election November 1935,0,
charlotte-nicol,Charlotte Nicol,1935-11-05,1938-11-01,elected,term_expired,94,Lerwick Town Council Election November 1935,0,
george-duffin,George Duffin,1935-11-05,1936-06-28,elected,died,94,Lerwick Town Council Election November 1935,0,
robert-ganson-ii,Robert Ganson (ii),1935-11-05,1938-11-01,elected,term_expired,94,Lerwick Town Council Election November 1935,0,
thomas-sinclair,Thomas Sinclair,1936-07-07,1936-11-03,by-election,term_expired,95,Lerwick Town Council By-Election July 1936,0,
thomas-irvine-ii,Thomas Irvine (ii),1936-08-04,1936-11-03,by-election,term_expired,96,Lerwick Town Council By-Election August 1936,0,
adam-halcrow-i,Adam Halcrow (i),1936-11-03,1940-12-24,elected,died,97,Lerwick Town Council Election November 1936,0,
magnus-shearer-i,Magnus Shearer (i),1936-11-03,1945-11-05,elected,term_expired,97,Lerwick Town Council Election November 1936,0,
thomas-irvine-ii,Thomas Irvine (ii),1936-11-03,1941-10-09,elected,replaced,97,Lerwick Town Council Election November 1936,0,
thomas-sinclair,Thomas Sinclair,1936-11-03,1945-11-05,elected,term_expired,97,Lerwick Town Council Election November 1936,0,
erling-clausen,Erling Clausen,1936-11-10,1937-11-02,by-election,term_expired,98,Lerwick Town Council By-Election November 1936,0,
erling-clausen,Erling Clausen,1937-11-02,1938-02-03,elected,replaced,99,Lerwick Town Council Election November 1937,0,
james-aitken,James Aitken,1937-11-02,1946-11-04,elected,term_expired,99,Lerwick Town Council Election November 1937,0,
james-laing,James Laing,1937-11-02,1945-12-10,elected,replaced,99,Lerwick Town Council Election November 1937,0,
joseph-linklater,Joseph Linklater,1937-11-02,1941-10-09,elected,replaced,99,Lerwick Town Council Election November 1937,0,
william-anderson-i,William Anderson (i),1937-11-02,1946-11-04,elected,term_expired,99,Lerwick Town Council Election November 1937,0,
william-smith-iii,William Smith (iii),1937-11-02,1942-02-28,elected,died,99,Lerwick Town Council Election November 1937,0,
peter-dalziel,Peter Dalziel,1938-02-03,1938-11-01,by-election,term_expired,100,Lerwick Town Council By-Election February 1938,0,
magnus-shearer-i,Magnus Shearer (i),1938-11-01,1947-11-04,elected,term_expired,101,Lerwick Town Council Election November 1938,0,
peter-dalziel,Peter Dalziel,1938-11-01,1947-11-04,elected,term_expired,101,Lerwick Town Council Election November 1938,0,
robert-ganson-ii,Robert Ganson (ii),1938-11-01,1947-11-04,elected,term_expired,101,Lerwick Town Council Election November 1938,0,
thomas-irvine-ii,Thomas Irvine (ii),1938-11-01,1946-06-06,elected,died,101,Lerwick Town Council Election November 1938,0,
william-sinclair,William Sinclair,1938-11-01,1940-08-06,elected,replaced,101,Lerwick Town Council Election November 1938,0,
andrew-mouat,Andrew Mouat,1940-08-06,1945-11-05,by-election,term_expired,102,Lerwick Town Council By-Election August 1940,0,
john-williamson-iii,John Williamson (iii),1941-01-07,1945-11-05,by-election,term_expired,103,Lerwick Town Council By-Election January 1941,0,
arthur-johnson,Arthur Johnson,1941-07-01,1945-11-05,by-election,term_expired,104,Lerwick Town Council By-Election July 1941,0,
charles-inkster,Charles Inkster,1941-10-09,1944-11-07,by-election,replaced,105,Lerwick Town Council By-Election October 1941,0,
john-gear,John Gear,1941-10-09,1943-02-11,by-election,replaced,105,Lerwick Town Council By-Election October 1941,0,
thomas-sinclair,Thomas Sinclair,1942-04-09,1945-11-05,by-election,term_expired,106,Lerwick Town Council By-Election April 1942,0,
robert-anderson-i,Robert Anderson (i),1943-02-11,1945-11-05,by-election,term_expired,107,Lerwick Town Council By-Election February 1943,0,
prophet-smith,Prophet Smith,1944-11-07,1945-02-05,by-election,replaced,108,Lerwick Town Council By-Election November 1944,0,
alexander-morrison,Alexander Morrison,1945-02-05,1945-11-05,by-election,term_expired,109,Lerwick Town Council By-Election February 1945,0,
alexander-morrison,Alexander Morrison,1945-11-05,1946-11-04,elected,term_expired,110,Lerwick Town Council Election November 1945,0,
david-gray-ii,David Gray (ii),1945-11-05,1946-03-04,elected,died,110,Lerwick Town Council Election November 1945,0,
james-peterson,James Peterson,1945-11-05,1949-05-02,elected,term_expired,110,Lerwick Town Council Election November 1945,0,
laurence-smith,Laurence Smith,1945-11-05,1949-05-02,elected,term_expired,110,Lerwick Town Council Election November 1945,0,
robert-anderson-i,Robert Anderson (i),1945-11-05,1949-05-02,elected,term_expired,110,Lerwick Town Council Election November 1945,0,
robert-ollason,Robert Ollason,1945-11-05,1949-05-02,elected,term_expired,110,Lerwick Town Council Election November 1945,0,
arthur-johnson,Arthur Johnson,1945-12-10,1946-11-04,by-election,term_expired,111,Lerwick Town Council By-Election December 1945,0,
thomas-sinclair,Thomas Sinclair,1946-05-22,1946-11-04,by-election,term_expired,112,Lerwick Town Council By-Election May 1946,0,
arthur-johnson,Arthur Johnson,1946-11-04,1947-11-04,elected,term_expired,113,Lerwick Town Council Election November 1946,0,
george-burgess,George Burgess,1946-11-04,1950-05-01,elected,term_expired,113,Lerwick Town Council Election November 1946,0,
james-aitken,James Aitken,1946-11-04,1950-05-01,elected,term_expired,113,Lerwick Town Council Election November 1946,0,
james-brownlie,James Brownlie,1946-11-04,1949-09-12,elected,replaced,113,Lerwick Town Council Election November 1946,0,
william-anderson-i,William Anderson (i),1946-11-04,1950-05-01,elected,term_expired,113,Lerwick Town Council Election November 1946,0,
alexander-morrison,Alexander Morrison,1947-11-04,1951-05-01,elected,term_expired,114,Lerwick Town Council Election November 1947,0,
james-williamson,James Williamson,1947-11-04,1951-05-01,elected,term_expired,114,Lerwick Town Council Election November 1947,0,
john-inkster-ii,John Inkster (ii),1947-11-04,1951-05-01,elected,term_expired,114,Lerwick Town Council Election November 1947,0,
robert-anderson-i,Robert Anderson (i),1947-11-04,1951-05-01,elected,term_expired,114,Lerwick Town Council Election November 1947,0,
james-jamieson-ii,James Jamieson (ii),1949-05-02,1950-09-12,elected,replaced,115,Lerwick Town Council Election May 1949,0,
james-peterson,James Peterson,1949-05-02,1952-05-05,elected,term_expired,115,Lerwick Town Council Election May 1949,0,
william-anderson-i,William Anderson (i),1949-05-02,1952-05-05,elected,term_expired,115,Lerwick Town Council Election May 1949,0,
william-conochie,William Conochie,1949-05-02,1952-05-05,elected,term_expired,115,Lerwick Town Council Election May 1949,0,
arthur-johnson,Arthur Johnson,1949-09-12,1950-05-01,by-election,term_expired,116,Lerwick Town Council By-Election September 1949,0,
arthur-johnson,Arthur Johnson,1950-05-01,1953-05-04,elected,term_expired,117,Lerwick Town Council Election May 1950,0,
george-burgess,George Burgess,1950-05-01,1953-05-04,elected,term_expired,117,Lerwick Town Council Election May 1950,0,
james-aitken,James Aitken,1950-05-01,1953-05-04,elected,term_expired,117,Lerwick Town Council Election May 1950,0,
james-williamson,James Williamson,1950-05-01,1953-05-04,elected,term_expired,117,Lerwick Town Council Election May 1950,0,
robert-blance,Robert Blance,1950-09-12,1951-05-01,by-election,term_expired,118,Lerwick Town Council By-Election September 1950,0,
alexander-morrison,Alexander Morrison,1951-05-01,1954-05-03,elected,term_expired,119,Lerwick Town Council Election May 1951,0,
,James Inkster,1951-05-01,1954-05-03,elected,term_expired,119,Lerwick Town Council Election May 1951,0,
robert-blance,Robert Blance,1951-05-01,1954-05-03,elected,term_expired,119,Lerwick Town Council Election May 1951,0,
robert-ollason,Robert Ollason,1951-05-01,1954-05-03,elected,term_expired,119,Lerwick Town Council Election May 1951,0,
arthur-johnson,Arthur Johnson,1952-05-05,1955-05-02,elected,term_expired,120,Lerwick Town Council Election May 1952,0,
james-peterson,James Peterson,1952-05-05,1955-05-02,elected,term_expired,120,Lerwick Town Council Election May 1952,0,
james-tait,James Tait,1952-05-05,1955-05-02,elected,term_expired,120,Lerwick Town Council Election May 1952,0,
william-conochie,William Conochie,1952-05-05,1955-05-02,elected,term_expired,120,Lerwick Town Council Election May 1952,0,
george-burgess,George Burgess,1953-05-04,1956-05-01,elected,term_expired,121,Lerwick Town Council Election May 1953,0,
harry-gray,Harry Gray,1953-05-04,1956-05-01,elected,term_expired,121,Lerwick Town Council Election May 1953,0,
john-eunson,John Eunson,1953-05-04,1956-05-01,elected,term_expired,121,Lerwick Town Council Election May 1953,0,
robert-anderson-i,Robert Anderson (i),1953-05-04,1956-05-01,elected,term_expired,121,Lerwick Town Council Election May 1953,0,
alexander-morrison,Alexander Morrison,1954-05-03,1957-05-07,elected,term_expired,122,Lerwick Town Council Election May 1954,0,
grace-halcrow,Grace Halcrow,1954-05-03,1955-05-06,elected,replaced,122,Lerwick Town Council Election May 1954,0,
robert-blance,Robert Blance,1954-05-03,1957-05-07,elected,term_expired,122,Lerwick Town Council Election May 1954,0,
robert-ollason,Robert Ollason,1954-05-03,1957-05-07,elected,term_expired,122,Lerwick Town Council Election May 1954,0,
andrew-nicolson,Andrew Nicolson,1955-05-02,1958-05-05,elected,term_expired,123,Lerwick Town Council Election May 1955,0,
james-daniel,James Daniel,1955-05-02,1958-05-05,elected,term_expired,123,Lerwick Town Council Election May 1955,0,
james-tait,James Tait,1955-05-02,1958-05-05,elected,term_expired,123,Lerwick Town Council Election May 1955,0,
william-conochie,William Conochie,1955-05-02,1958-05-05,elected,term_expired,123,Lerwick Town Council Election May 1955,0,
arthur-johnson,Arthur Johnson,1955-05-06,1956-05-01,by-election,term_expired,124,Lerwick Town Council By-Election May 1955,0,
arthur-johnson,Arthur Johnson,1956-05-01,1959-05-04,elected,term_expired,125,Lerwick Town Council Election May 1956,0,
george-burgess,George Burgess,1956-05-01,1957-05-07,elected,term_expired,125,Lerwick Town Council Election May 1956,0,
harry-gray,Harry Gray,1956-05-01,1959-05-04,elected,term_expired,125,Lerwick Town Council Election May 1956,0,
john-eunson,John Eunson,1956-05-01,1959-05-04,elected,term_expired,125,Lerwick Town Council Election May 1956,0,
robert-anderson-i,Robert Anderson (i),1956-05-01,1959-05-04,elected,term_expired,125,Lerwick Town Council Election May 1956,0,
alexander-morrison,Alexander Morrison,1957-05-07,1960-05-02,elected,term_expired,126,Lerwick Town Council Election May 1957,0,
grace-halcrow,Grace Halcrow,1957-05-07,1960-05-02,elected,term_expired,126,Lerwick Town Council Election May 1957,0,
robert-blance,Robert Blance,1957-05-07,1960-05-02,elected,term_expired,126,Lerwick Town Council Election May 1957,0,
robert-ollason,Robert Ollason,1957-05-07,1960-05-02,elected,term_expired,126,Lerwick Town Council Election May 1957,0,
eric-gray,Eric Gray,1958-05-05,1961-05-01,elected,term_expired,127,Lerwick Town Council Election May 1958,0,
